LOR,LOR Name,31.12.2017,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015,31.12.2016
04051654,Wilhelmsaue,12,9,-,3,-,6,-,7,10,9,3
04051655,Babelsberger Straße,39,18,18,33,28,34,29,33,37,34,48
04051656,Hildegardstraße,43,15,12,6,15,21,24,43,34,27,41
04061757,Forst Grunewald,-,-,-,-,-,-,-,-,-,-,-
05010101,Hakenfelde Nord,13,3,6,3,7,9,9,6,-,4,7
05010102,Goltzstraße,12,3,3,3,6,3,3,4,3,-,-
05010103,Amorbacher Weg,3,-,9,-,-,3,5,6,9,9,7
05010204,Griesingerstraße,6,-,-,3,3,-,3,-,-,-,-
05010205,An der Tränke,6,6,3,3,6,6,3,7,6,6,6
05010206,Gütersloher Weg,13,-,-,-,-,3,-,9,6,9,4
05010207,Darbystraße,3,7,6,9,3,6,9,4,12,9,6
05010208,Germersheimer Platz,7,-,-,-,-,6,6,12,12,6,12
05010209,An der Kappe,7,-,-,-,-,3,-,3,3,6,3
05010310,Eckschanze,10,3,6,3,3,6,-,13,6,6,9
05010311,Eiswerder,-,-,3,-,3,3,3,-,3,3,3
05010312,Kurstraße,10,-,-,-,-,3,3,10,22,19,18
05010313,Ackerstraße,18,-,-,3,4,-,9,32,19,18,15
05010314,Carl-Schurz-Straße,25,3,-,3,3,-,25,7,23,24,18
05010339,Freiheit,-,-,-,-,-,-,-,-,-,-,-
05020415,Isenburger Weg,3,-,-,-,-,3,-,-,3,4,3
05020416,Am Heideberg,-,-,-,-,-,-,-,-,-,-,-
05020417,Staakener Straße,3,6,-,-,3,-,3,-,3,-,6
05020418,Spandauer Straße,-,-,4,-,-,3,-,-,-,-,-
05020419,Magistratsweg,9,-,-,-,3,3,-,-,-,6,7
05020420,Werkstraße,-,-,-,-,-,-,-,3,-,-,-
05020521,Döberitzer Weg,3,-,-,-,-,-,-,-,-,-,-
05020522,Pillnitzer Weg,19,6,6,3,3,6,9,3,9,25,19
05020523,Maulbeerallee,15,-,3,7,3,3,6,6,-,3,17
05020524,Weinmeisterhornweg,3,-,-,3,3,6,10,4,6,6,6
